"DATE","count"
2017-02-10,16
2017-02-11,15
2017-02-12,14
2017-02-13,12
2017-02-14,20
2017-02-15,26
2017-02-16,24
2017-02-17,36
2017-02-18,25
2017-02-19,22
2017-02-20,28
2017-02-21,30
2017-02-22,24
2017-02-23,32
2017-02-24,25
2017-02-25,26
2017-02-26,26
2017-02-27,23
2017-02-28,19
2017-03-01,17
2017-03-02,13
2017-03-03,21
2017-03-04,9
2017-03-05,6
2017-03-06,19
2017-03-07,30
2017-03-08,26
2017-03-09,22
2017-03-10,38
2017-03-11,28
2017-03-12,25
2017-03-13,29
2017-03-14,20
2017-03-15,15
2017-03-16,14
2017-03-17,20
2017-03-18,21
2017-03-19,26
2017-03-20,43
2017-03-21,28
2017-03-22,36
2017-03-23,27
2017-03-24,33
2017-03-25,19
2017-03-26,31
2017-03-27,27
2017-03-28,36
2017-03-29,31
2017-03-30,25
2017-03-31,19
2017-04-01,17
2017-04-02,24
2017-04-03,29
2017-04-04,24
2017-04-05,23
2017-04-06,26
2017-04-07,28
2017-04-08,26
2017-04-09,20
2017-04-10,32
2017-04-11,24
2017-04-12,33
2017-04-13,28
2017-04-14,30
2017-04-15,20
2017-04-16,17
2017-04-17,27
2017-04-18,32
2017-04-19,14
2017-04-20,35
2017-04-21,30
2017-04-22,28
2017-04-23,20
2017-04-24,24
2017-04-25,27
2017-04-26,27
2017-04-27,29
2017-04-28,21
2017-04-29,18
2017-04-30,16
2017-05-01,18
2017-05-02,17
2017-05-03,23
2017-05-04,25
2017-05-05,27
2017-05-06,23
2017-05-07,18
2017-05-08,22
2017-05-09,20
2017-05-10,23
2017-05-11,27
2017-05-12,20
2017-05-13,27
2017-05-14,27
2017-05-15,20
2017-05-16,25
2017-05-17,22
2017-05-18,30
2017-05-19,34
2017-05-20,29
2017-05-21,25
2017-05-22,27
2017-05-23,31
2017-05-24,23
2017-05-25,34
2017-05-26,24
2017-05-27,22
2017-05-28,27
2017-05-29,34
2017-05-30,27
2017-05-31,32
2017-06-01,31
2017-06-02,27
2017-06-03,20
2017-06-04,24
2017-06-05,23
2017-06-06,41
2017-06-07,26
2017-06-08,33
2017-06-09,40
2017-06-10,24
2017-06-11,29
2017-06-12,39
2017-06-13,34
2017-06-14,34
2017-06-15,30
2017-06-16,20
2017-06-17,21
2017-06-18,25
2017-06-19,23
2017-06-20,24
2017-06-21,29
2017-06-22,21
2017-06-23,38
2017-06-24,13
2017-06-25,13
2017-06-26,16
2017-06-27,26
2017-06-28,33
2017-06-29,31
2017-06-30,28
2017-07-01,17
2017-07-02,26
2017-07-03,43
2017-07-04,37
2017-07-05,31
2017-07-06,18
2017-07-07,18
2017-07-08,26
2017-07-09,32
2017-07-10,35
2017-07-11,35
2017-07-12,34
2017-07-13,28
2017-07-14,22
2017-07-15,29
2017-07-16,24
2017-07-17,38
2017-07-18,31
2017-07-19,25
2017-07-20,21
2017-07-21,31
2017-07-22,29
2017-07-23,24
2017-07-24,40
